"id"	"x"	"y"	"z"	"date"	"source"	"epsg"
5	227813.634	6718740.11	NA	NA	"landsat1998dez25"	31982
13	229805.893	6720354.599	NA	NA	"landsat1998dez25"	31982
6	230615.468	6720965.792	NA	NA	"landsat1998dez25"	31982
1	230935.692	6713953.438	NA	NA	"landsat2005jan26"	31982
4	230051.911	6715829.019	NA	NA	"landsat2005jan26"	31982
11	233269.735	6717264.686	NA	NA	"landsat2005jan26"	31982
2	232414.894	6717827.132	NA	NA	"landsat2005jan26"	31982
12	232115.63	6720624.629	NA	NA	"landsat2005jan26"	31982
3	232117.267	6723269.936	NA	NA	"landsat2005jan26"	31982
7	228744.714	6723836.829	NA	NA	"landsat2005jan26"	31982
9	221964.252	6723069.804	NA	NA	"landsat2005jan26"	31982
10	224353.687	6719650.484	NA	NA	"landsat2005jan26"	31982
8	224420.005	6715811.95	NA	NA	"landsat2005jan26"	31982
14	229295.812	6717675.05	NA	NA	"landsat2005jan26"	31982
5	227819.615	6718752.07	NA	NA	"landsat2005jan26"	31982
13	229805.893	6720360.579	NA	NA	"landsat2005jan26"	31982
6	230609.488	6720971.773	NA	NA	"landsat2005jan26"	31982
1	230935.692	6713941.477	NA	NA	"landsat2006dez31"	31982
4	230051.911	6715835	NA	NA	"landsat2006dez31"	31982
11	233269.735	6717252.726	NA	NA	"landsat2006dez31"	31982
2	232408.914	6717815.171	NA	NA	"landsat2006dez31"	31982
12	232121.611	6720630.609	NA	NA	"landsat2006dez31"	31982
3	232141.189	6723269.936	NA	NA	"landsat2006dez31"	31982
7	228732.754	6723836.829	NA	NA	"landsat2006dez31"	31982
9	221964.252	6723063.823	NA	NA	"landsat2006dez31"	31982
10	224347.707	6719662.445	NA	NA	"landsat2006dez31"	31982
8	224425.986	6715811.95	NA	NA	"landsat2006dez31"	31982
14	229295.812	6717663.089	NA	NA	"landsat2006dez31"	31982
5	227831.575	6718758.051	NA	NA	"landsat2006dez31"	31982
13	229805.893	6720354.599	NA	NA	"landsat2006dez31"	31982
6	230609.488	6720959.812	NA	NA	"landsat2006dez31"	31982
1	230929.712	6713947.457	NA	NA	"landsat2006jan29"	31982
4	230057.892	6715835	NA	NA	"landsat2006jan29"	31982
11	233281.696	6717258.706	NA	NA	"landsat2006jan29"	31982
2	232402.933	6717809.19	NA	NA	"landsat2006jan29"	31982
12	232133.571	6720630.609	NA	NA	"landsat2006jan29"	31982
3	232135.209	6723281.896	NA	NA	"landsat2006jan29"	31982
7	228738.734	6723830.849	NA	NA	"landsat2006jan29"	31982
9	221964.252	6723069.804	NA	NA	"landsat2006jan29"	31982
10	224359.668	6719668.425	NA	NA	"landsat2006jan29"	31982
8	224420.005	6715811.95	NA	NA	"landsat2006jan29"	31982
14	229295.812	6717663.089	NA	NA	"landsat2006jan29"	31982
5	227831.575	6718764.031	NA	NA	"landsat2006jan29"	31982
13	229811.874	6720354.599	NA	NA	"landsat2006jan29"	31982
6	230615.468	6720959.812	NA	NA	"landsat2006jan29"	31982
1	230929.712	6713953.438	NA	NA	"landsat2008dez20"	31982
4	230045.931	6715829.019	NA	NA	"landsat2008dez20"	31982
11	233275.715	6717258.706	NA	NA	"landsat2008dez20"	31982
2	232396.953	6717809.19	NA	NA	"landsat2008dez20"	31982
12	232121.611	6720630.609	NA	NA	"landsat2008dez20"	31982
3	232135.209	6723287.877	NA	NA	"landsat2008dez20"	31982
7	228738.734	6723818.888	NA	NA	"landsat2008dez20"	31982
9	221964.252	6723075.784	NA	NA	"landsat2008dez20"	31982
10	224353.687	6719674.406	NA	NA	"landsat2008dez20"	31982
8	224443.927	6715805.97	NA	NA	"landsat2008dez20"	31982
14	229283.851	6717657.108	NA	NA	"landsat2008dez20"	31982
5	227819.615	6718764.031	NA	NA	"landsat2008dez20"	31982
13	229817.854	6720354.599	NA	NA	"landsat2008dez20"	31982
6	230609.488	6720959.812	NA	NA	"landsat2008dez20"	31982
1	230929.712	6713947.443	NA	NA	"landsat2009jan05"	31982
4	230051.925	6715841.009	NA	NA	"landsat2009jan05"	31982
11	233275.715	6717252.711	NA	NA	"landsat2009jan05"	31982
2	232384.963	6717803.196	NA	NA	"landsat2009jan05"	31982
12	232115.616	6720630.609	NA	NA	"landsat2009jan05"	31982
3	232129.214	6723287.877	NA	NA	"landsat2009jan05"	31982
7	228732.739	6723824.883	NA	NA	"landsat2009jan05"	31982
9	221976.242	6723075.784	NA	NA	"landsat2009jan05"	31982
10	224353.687	6719650.427	NA	NA	"landsat2009jan05"	31982
8	224431.938	6715799.975	NA	NA	"landsat2009jan05"	31982
14	229277.856	6717645.119	NA	NA	"landsat2009jan05"	31982
5	227813.62	6718764.031	NA	NA	"landsat2009jan05"	31982
13	229775.891	6720378.578	NA	NA	"landsat2009jan05"	31982
6	230603.493	6720959.812	NA	NA	"landsat2009jan05"	31982
1	230983.664	6713935.454	NA	NA	"landsat2010dez26"	31982
4	230051.925	6715823.025	NA	NA	"landsat2010dez26"	31982
11	233285.684	6717282.788	NA	NA	"landsat2010dez26"	31982
2	232356.942	6717831.251	NA	NA	"landsat2010dez26"	31982
12	232103.759	6720606.763	NA	NA	"landsat2010dez26"	31982
3	232117.489	6723293.774	NA	NA	"landsat2010dez26"	31982
7	228761.786	6723824.883	NA	NA	"landsat2010dez26"	31982
9	221999.558	6723052.07	NA	NA	"landsat2010dez26"	31982
10	224383.661	6719650.427	NA	NA	"landsat2010dez26"	31982
8	224435.98	6715816.007	NA	NA	"landsat2010dez26"	31982
14	229271.862	6717645.119	NA	NA	"landsat2010dez26"	31982
5	227807.625	6718770.026	NA	NA	"landsat2010dez26"	31982
13	229777.913	6720348.535	NA	NA	"landsat2010dez26"	31982
6	230606.292	6720962.743	NA	NA	"landsat2010dez26"	31982
